climatetrace_owner_name,ticker,parent_name,note
# PBF / Portland General / Peabody / HF Sinclair (not S&P 500 constituents),
# Tampa Electric (Emera-owned). A large share of US industrial emissions simply
# is not attributable to an S&P 500 issuer.
Luminant Generation Company LLC,VST,Vistra Corp.,Vistra's generation subsidiary
NRG Texas Power LLC,NRG,NRG Energy,NRG operating subsidiary
Kentucky Utilities Co,PPL,PPL Corporation,PPL operating utility
Louisville Gas & Electric Co,PPL,PPL Corporation,PPL operating utility
Evergy Metro Inc,EVRG,Evergy,Evergy operating utility
Evergy Kansas Central Inc,EVRG,Evergy,Evergy operating utility
AES Indiana Co,AES,AES Corporation,AES operating utility
